id,time,F_x,F_y,F_z,T_x,T_y,T_z,target
75,9,5,-12,5,-11,-10,3,False
75,10,6,-12,5,-12,-9,2,False
75,11,4,-10,6,-13,-12,2,False
75,12,6,-10,4,-13,-9,3,False
75,13,6,-9,4,-17,-8,3,False
75,14,6,-4,-14,-52,-20,0,False
78,0,-2,10,-31,21,29,5,False
78,1,-1,17,-54,23,46,8,False
78,2,2,24,-78,24,60,8,False
78,3,-1,31,-112,24,70,14,False
78,4,-3,43,-146,15,79,20,False
78,5,-1,49,-172,20,92,23,False
78,6,-5,56,-214,31,100,23,False
78,7,-12,60,-254,52,104,18,False
78,8,-15,68,-291,63,110,23,False
78,9,-15,76,-345,75,126,25,False
78,10,-13,81,-404,105,161,25,False
78,11,-13,88,-472,137,194,29,False
78,12,-11,91,-532,173,225,34,False
78,13,-7,89,-553,196,245,38,False
78,14,-3,81,-508,186,234,35,False
80,0,-5,-2,48,7,-9,-1,False
80,1,-5,0,36,7,-9,-1,False
80,2,-4,-2,44,13,-9,-1,False
80,3,-4,-2,38,14,-9,-3,False
80,4,-5,0,32,12,-8,-1,False
80,5,-6,1,27,13,-10,0,False
80,6,-6,3,23,9,-11,-2,False
80,7,-5,1,24,10,-10,-2,False
80,8,-5,3,25,8,-9,0,False
80,9,-6,4,24,6,-9,0,False
80,10,0,1,24,11,0,-2,False
80,11,-2,4,11,8,2,2,False
80,12,-6,10,7,-1,-1,1,False
80,13,-4,7,13,9,3,2,False
80,14,-2,7,11,6,2,2,False
81,0,-4,7,10,5,0,1,False
81,1,-1,8,10,4,4,2,False
81,2,-6,9,-11,26,3,0,False
81,3,-7,12,-39,34,4,-1,False
81,4,-6,14,-65,49,10,0,False
81,5,-8,21,-100,52,15,0,False
81,6,-6,26,-119,61,25,3,False
81,7,-7,35,-169,77,43,6,False
81,8,-3,48,-239,102,70,9,False
81,9,4,57,-301,139,102,16,False
81,10,0,52,-296,139,95,12,False
81,11,1,48,-276,133,94,13,False
81,12,2,47,-264,129,94,14,False
81,13,3,45,-257,125,92,15,False
81,14,4,44,-252,123,94,15,False
82,0,-3,0,46,0,-5,1,False
82,1,-2,0,58,3,-5,0,False
82,2,0,-5,53,10,0,0,False
82,3,-2,-1,49,7,-6,0,False
82,4,-1,-5,47,14,0,-1,False
82,5,0,-6,50,22,1,0,False
82,6,-1,-6,43,23,3,-1,False
82,7,-4,-4,33,21,-1,-1,False
82,8,-2,-8,39,34,3,-2,False
82,9,-2,-6,26,35,5,-2,False
82,10,-4,-6,22,36,2,-2,False
82,11,-4,-7,10,42,3,-3,False
82,12,-6,-9,6,50,-4,-5,False
82,13,-10,-8,8,54,-12,-7,False
82,14,-8,-9,4,58,-11,-7,False
83,0,-15,-9,-26,70,-22,-11,False
83,1,-15,-8,-27,74,-20,-11,False
83,2,-14,-9,-26,76,-23,-12,False
83,3,-16,-10,-29,74,-22,-10,False
83,4,-14,-9,-24,80,-19,-11,False
83,5,-15,-10,-33,84,-15,-10,False
83,6,-14,-12,-43,93,-11,-11,False
83,7,-15,-12,-53,99,-10,-11,False
83,8,-16,-9,-71,96,-8,-12,False
83,9,-20,-9,-88,106,-8,-14,False
83,10,-24,-9,-90,111,-21,-15,False
83,11,-27,-12,-114,131,-20,-16,False
83,12,-26,-15,-138,151,-14,-16,False
83,13,-26,-15,-160,162,-4,-15,False
83,14,-28,-13,-181,172,1,-14,False
84,0,-29,-10,-208,180,12,-11,False
84,1,-29,-4,-246,192,24,-10,False
84,2,-26,-3,-300,220,55,-6,False
84,3,-25,2,-386,255,92,-2,False
84,4,-25,7,-486,297,130,0,False
84,5,-35,16,-644,363,167,-1,False
84,6,-69,49,-783,357,135,-11,False
84,7,-98,73,-961,400,124,-21,False
84,8,-110,83,-1018,410,118,-21,False
84,9,-107,76,-986,408,112,-25,False
84,10,-105,71,-957,404,112,-26,False
84,11,-102,67,-939,407,100,-28,False
84,12,-104,66,-927,400,107,-22,False
84,13,-104,64,-918,396,101,-23,False
84,14,-105,63,-912,394,100,-25,False
86,0,21,15,-14,-46,16,-7,False
86,1,23,18,-27,-49,14,-10,False
86,2,28,16,-26,-47,25,-9,False
86,3,31,20,-42,-55,25,-8,False
86,4,35,21,-55,-55,33,-10,False
86,5,39,26,-68,-60,35,-10,False
86,6,45,27,-83,-63,45,-9,False
86,7,52,31,-110,-66,51,-9,False
86,8,60,31,-135,-65,64,-8,False
86,9,70,36,-163,-69,77,-8,False
86,10,81,39,-199,-71,93,-4,False
86,11,94,47,-243,-78,112,-2,False
86,12,109,52,-294,-80,134,1,False
86,13,125,60,-346,-88,154,4,False
86,14,148,69,-411,-95,191,8,False
87,0,171,86,-486,-113,222,13,False
87,1,198,96,-566,-125,261,15,False
87,2,222,112,-667,-136,290,20,False
87,3,253,126,-780,-142,327,22,False
87,4,287,142,-930,-138,362,27,False
87,5,324,158,-1108,-133,389,29,False
87,6,338,162,-1145,-125,419,32,False
87,7,340,160,-1104,-124,433,35,False
87,8,339,158,-1077,-126,437,37,False
87,9,338,155,-1074,-122,462,39,False
87,10,336,154,-1051,-127,454,37,False
87,11,340,151,-1041,-140,458,39,False
87,12,339,154,-1036,-134,471,42,False
87,13,342,154,-1036,-118,466,44,False
87,14,342,154,-1036,-118,466,44,False
