,value,split,value_feature
1348,56,0,64 96 117 63 49 57 67 81 60 47
1349,51,0,96 117 63 49 57 67 81 60 47 56
1350,28,0,117 63 49 57 67 81 60 47 56 51
1351,53,0,63 49 57 67 81 60 47 56 51 28
1352,46,0,49 57 67 81 60 47 56 51 28 53
1353,62,0,57 67 81 60 47 56 51 28 53 46
1354,43,0,67 81 60 47 56 51 28 53 46 62
1355,58,0,81 60 47 56 51 28 53 46 62 43
1356,66,0,60 47 56 51 28 53 46 62 43 58
1357,53,0,47 56 51 28 53 46 62 43 58 66
1358,78,0,56 51 28 53 46 62 43 58 66 53
1359,65,0,51 28 53 46 62 43 58 66 53 78
1360,56,0,28 53 46 62 43 58 66 53 78 65
1361,70,0,53 46 62 43 58 66 53 78 65 56
1362,71,0,46 62 43 58 66 53 78 65 56 70
1363,50,0,62 43 58 66 53 78 65 56 70 71
1364,58,0,43 58 66 53 78 65 56 70 71 50
1365,67,0,58 66 53 78 65 56 70 71 50 58
1366,80,0,66 53 78 65 56 70 71 50 58 67
1367,61,0,53 78 65 56 70 71 50 58 67 80
1368,55,0,78 65 56 70 71 50 58 67 80 61
1369,58,0,65 56 70 71 50 58 67 80 61 55
1370,66,0,56 70 71 50 58 67 80 61 55 58
1371,69,0,70 71 50 58 67 80 61 55 58 66
1372,70,0,71 50 58 67 80 61 55 58 66 69
1373,62,0,50 58 67 80 61 55 58 66 69 70
1374,71,0,58 67 80 61 55 58 66 69 70 62
1375,65,0,67 80 61 55 58 66 69 70 62 71
1376,61,0,80 61 55 58 66 69 70 62 71 65
1377,66,0,61 55 58 66 69 70 62 71 65 61
1378,49,0,55 58 66 69 70 62 71 65 61 66
1379,54,0,58 66 69 70 62 71 65 61 66 49
1380,68,0,66 69 70 62 71 65 61 66 49 54
1381,80,0,69 70 62 71 65 61 66 49 54 68
1382,73,0,70 62 71 65 61 66 49 54 68 80
1383,103,0,62 71 65 61 66 49 54 68 80 73
1384,175,0,71 65 61 66 49 54 68 80 73 103
1385,242,0,65 61 66 49 54 68 80 73 103 175
1386,194,0,61 66 49 54 68 80 73 103 175 242
1387,214,0,66 49 54 68 80 73 103 175 242 194
1388,234,0,49 54 68 80 73 103 175 242 194 214
1389,151,0,54 68 80 73 103 175 242 194 214 234
1390,225,0,68 80 73 103 175 242 194 214 234 151
1391,170,0,80 73 103 175 242 194 214 234 151 225
1392,151,0,73 103 175 242 194 214 234 151 225 170
1393,152,0,103 175 242 194 214 234 151 225 170 151
1394,106,0,175 242 194 214 234 151 225 170 151 152
1395,117,0,242 194 214 234 151 225 170 151 152 106
1396,96,0,194 214 234 151 225 170 151 152 106 117
1397,146,0,214 234 151 225 170 151 152 106 117 96
1398,131,0,234 151 225 170 151 152 106 117 96 146
1399,135,0,151 225 170 151 152 106 117 96 146 131
1400,138,0,225 170 151 152 106 117 96 146 131 135
1401,130,0,170 151 152 106 117 96 146 131 135 138
1402,93,0,151 152 106 117 96 146 131 135 138 130
1403,104,0,152 106 117 96 146 131 135 138 130 93
1404,126,0,106 117 96 146 131 135 138 130 93 104
1405,123,0,117 96 146 131 135 138 130 93 104 126
1406,113,0,96 146 131 135 138 130 93 104 126 123
1407,107,0,146 131 135 138 130 93 104 126 123 113
1408,101,0,131 135 138 130 93 104 126 123 113 107
1409,99,0,135 138 130 93 104 126 123 113 107 101
1410,69,0,138 130 93 104 126 123 113 107 101 99
1411,117,0,130 93 104 126 123 113 107 101 99 69
1412,140,0,93 104 126 123 113 107 101 99 69 117
1413,111,0,104 126 123 113 107 101 99 69 117 140
1414,119,0,126 123 113 107 101 99 69 117 140 111
1415,122,0,123 113 107 101 99 69 117 140 111 119
1416,138,0,113 107 101 99 69 117 140 111 119 122
1417,114,0,107 101 99 69 117 140 111 119 122 138
1418,139,0,101 99 69 117 140 111 119 122 138 114
1419,141,0,99 69 117 140 111 119 122 138 114 139
1420,116,0,69 117 140 111 119 122 138 114 139 141
1421,106,0,117 140 111 119 122 138 114 139 141 116
1422,101,0,140 111 119 122 138 114 139 141 116 106
1423,92,0,111 119 122 138 114 139 141 116 106 101
1424,100,0,119 122 138 114 139 141 116 106 101 92
1425,93,0,122 138 114 139 141 116 106 101 92 100
1426,113,0,138 114 139 141 116 106 101 92 100 93
1427,69,0,114 139 141 116 106 101 92 100 93 113
1428,88,0,139 141 116 106 101 92 100 93 113 69
1429,92,0,141 116 106 101 92 100 93 113 69 88
1430,66,0,116 106 101 92 100 93 113 69 88 92
1431,110,0,106 101 92 100 93 113 69 88 92 66
1432,79,0,101 92 100 93 113 69 88 92 66 110
1433,77,0,92 100 93 113 69 88 92 66 110 79
1434,111,0,100 93 113 69 88 92 66 110 79 77
1435,93,0,93 113 69 88 92 66 110 79 77 111
1436,90,0,113 69 88 92 66 110 79 77 111 93
1437,81,0,69 88 92 66 110 79 77 111 93 90
1438,76,0,88 92 66 110 79 77 111 93 90 81
1439,63,0,92 66 110 79 77 111 93 90 81 76
1440,57,0,66 110 79 77 111 93 90 81 76 63
1441,52,0,110 79 77 111 93 90 81 76 63 57
1442,66,0,79 77 111 93 90 81 76 63 57 52
1443,61,0,77 111 93 90 81 76 63 57 52 66
1444,68,0,111 93 90 81 76 63 57 52 66 61
1445,66,0,93 90 81 76 63 57 52 66 61 68
1446,56,0,90 81 76 63 57 52 66 61 68 66
1447,66,0,81 76 63 57 52 66 61 68 66 56
1448,62,0,76 63 57 52 66 61 68 66 56 66
1449,58,0,63 57 52 66 61 68 66 56 66 62
1450,72,0,57 52 66 61 68 66 56 66 62 58
1451,79,0,52 66 61 68 66 56 66 62 58 72
1452,62,0,66 61 68 66 56 66 62 58 72 79
1453,74,0,61 68 66 56 66 62 58 72 79 62
1454,60,0,68 66 56 66 62 58 72 79 62 74
1455,77,0,66 56 66 62 58 72 79 62 74 60
1456,52,0,56 66 62 58 72 79 62 74 60 77
1457,56,0,66 62 58 72 79 62 74 60 77 52
1458,59,0,62 58 72 79 62 74 60 77 52 56
1459,37,0,58 72 79 62 74 60 77 52 56 59
1460,39,0,72 79 62 74 60 77 52 56 59 37
1461,48,0,79 62 74 60 77 52 56 59 37 39
1462,44,0,62 74 60 77 52 56 59 37 39 48
1463,39,0,74 60 77 52 56 59 37 39 48 44
1464,60,0,60 77 52 56 59 37 39 48 44 39
1465,58,0,77 52 56 59 37 39 48 44 39 60
1466,86,0,52 56 59 37 39 48 44 39 60 58
1467,59,0,56 59 37 39 48 44 39 60 58 86
1468,86,0,59 37 39 48 44 39 60 58 86 59
1469,69,0,37 39 48 44 39 60 58 86 59 86
1470,108,0,39 48 44 39 60 58 86 59 86 69
1471,101,0,48 44 39 60 58 86 59 86 69 108
1472,73,0,44 39 60 58 86 59 86 69 108 101
1473,62,0,39 60 58 86 59 86 69 108 101 73
1474,47,0,60 58 86 59 86 69 108 101 73 62
1475,73,0,58 86 59 86 69 108 101 73 62 47
1476,54,0,86 59 86 69 108 101 73 62 47 73
1477,91,0,59 86 69 108 101 73 62 47 73 54
1478,73,0,86 69 108 101 73 62 47 73 54 91
1479,52,0,69 108 101 73 62 47 73 54 91 73
1480,54,0,108 101 73 62 47 73 54 91 73 52
1481,66,0,101 73 62 47 73 54 91 73 52 54
1482,64,0,73 62 47 73 54 91 73 52 54 66
1483,91,0,62 47 73 54 91 73 52 54 66 64
1484,51,0,47 73 54 91 73 52 54 66 64 91
1485,58,0,73 54 91 73 52 54 66 64 91 51
1486,59,0,54 91 73 52 54 66 64 91 51 58
1487,54,0,91 73 52 54 66 64 91 51 58 59
1488,78,0,73 52 54 66 64 91 51 58 59 54
1489,56,0,52 54 66 64 91 51 58 59 54 78
1490,68,0,54 66 64 91 51 58 59 54 78 56
1491,52,0,66 64 91 51 58 59 54 78 56 68
1492,56,0,64 91 51 58 59 54 78 56 68 52
1493,70,0,91 51 58 59 54 78 56 68 52 56
1494,77,0,51 58 59 54 78 56 68 52 56 70
1495,46,0,58 59 54 78 56 68 52 56 70 77
1496,41,0,59 54 78 56 68 52 56 70 77 46
1497,57,0,54 78 56 68 52 56 70 77 46 41
1498,39,0,78 56 68 52 56 70 77 46 41 57
1499,40,0,56 68 52 56 70 77 46 41 57 39
1500,72,0,68 52 56 70 77 46 41 57 39 40
1501,50,0,52 56 70 77 46 41 57 39 40 72
1502,56,0,56 70 77 46 41 57 39 40 72 50
1503,70,0,70 77 46 41 57 39 40 72 50 56
1504,51,0,77 46 41 57 39 40 72 50 56 70
1505,76,0,46 41 57 39 40 72 50 56 70 51
1506,64,0,41 57 39 40 72 50 56 70 51 76
1507,55,0,57 39 40 72 50 56 70 51 76 64
1508,49,0,39 40 72 50 56 70 51 76 64 55
1509,49,0,40 72 50 56 70 51 76 64 55 49
1510,46,0,72 50 56 70 51 76 64 55 49 49
1511,39,0,50 56 70 51 76 64 55 49 49 46
1512,62,0,56 70 51 76 64 55 49 49 46 39
1513,34,0,70 51 76 64 55 49 49 46 39 62
1514,50,0,51 76 64 55 49 49 46 39 62 34
1515,66,0,76 64 55 49 49 46 39 62 34 50
1516,55,0,64 55 49 49 46 39 62 34 50 66
1517,41,0,55 49 49 46 39 62 34 50 66 55
1518,66,0,49 49 46 39 62 34 50 66 55 41
1519,43,0,49 46 39 62 34 50 66 55 41 66
1520,52,0,46 39 62 34 50 66 55 41 66 43
1521,39,0,39 62 34 50 66 55 41 66 43 52
1522,62,0,62 34 50 66 55 41 66 43 52 39
1523,60,0,34 50 66 55 41 66 43 52 39 62
1524,50,0,50 66 55 41 66 43 52 39 62 60
1525,59,0,66 55 41 66 43 52 39 62 60 50
1526,48,0,55 41 66 43 52 39 62 60 50 59
1527,47,0,41 66 43 52 39 62 60 50 59 48
1528,36,0,66 43 52 39 62 60 50 59 48 47
1529,34,0,43 52 39 62 60 50 59 48 47 36
1530,55,0,52 39 62 60 50 59 48 47 36 34
1531,35,0,39 62 60 50 59 48 47 36 34 55
1532,29,0,62 60 50 59 48 47 36 34 55 35
1533,40,0,60 50 59 48 47 36 34 55 35 29
1534,48,0,50 59 48 47 36 34 55 35 29 40
1535,51,0,59 48 47 36 34 55 35 29 40 48
1536,33,0,48 47 36 34 55 35 29 40 48 51
1537,21,0,47 36 34 55 35 29 40 48 51 33
1538,42,0,36 34 55 35 29 40 48 51 33 21
1539,29,0,34 55 35 29 40 48 51 33 21 42
1540,38,0,55 35 29 40 48 51 33 21 42 29
1541,34,0,35 29 40 48 51 33 21 42 29 38
1542,42,0,29 40 48 51 33 21 42 29 38 34
1543,28,0,40 48 51 33 21 42 29 38 34 42
1544,35,0,48 51 33 21 42 29 38 34 42 28
1545,27,0,51 33 21 42 29 38 34 42 28 35
1546,14,0,33 21 42 29 38 34 42 28 35 27
1547,33,0,21 42 29 38 34 42 28 35 27 14
1548,33,0,42 29 38 34 42 28 35 27 14 33
1549,30,0,29 38 34 42 28 35 27 14 33 33
1550,32,0,38 34 42 28 35 27 14 33 33 30
1551,27,0,34 42 28 35 27 14 33 33 30 32
1552,28,0,42 28 35 27 14 33 33 30 32 27
1553,28,0,28 35 27 14 33 33 30 32 27 28
1554,19,0,35 27 14 33 33 30 32 27 28 28
1555,24,0,27 14 33 33 30 32 27 28 28 19
1556,34,0,14 33 33 30 32 27 28 28 19 24
1557,20,0,33 33 30 32 27 28 28 19 24 34
1558,45,0,33 30 32 27 28 28 19 24 34 20
1559,56,0,30 32 27 28 28 19 24 34 20 45
1560,46,0,32 27 28 28 19 24 34 20 45 56
1561,23,0,27 28 28 19 24 34 20 45 56 46
1562,40,0,28 28 19 24 34 20 45 56 46 23
1563,43,0,28 19 24 34 20 45 56 46 23 40
1564,29,0,19 24 34 20 45 56 46 23 40 43
1565,27,0,24 34 20 45 56 46 23 40 43 29
1566,47,0,34 20 45 56 46 23 40 43 29 27
1567,41,0,20 45 56 46 23 40 43 29 27 47
1568,38,0,45 56 46 23 40 43 29 27 47 41
1569,27,0,56 46 23 40 43 29 27 47 41 38
1570,29,0,46 23 40 43 29 27 47 41 38 27
1571,26,0,23 40 43 29 27 47 41 38 27 29
1572,31,0,40 43 29 27 47 41 38 27 29 26
1573,27,0,43 29 27 47 41 38 27 29 26 31
1574,22,0,29 27 47 41 38 27 29 26 31 27
1575,35,0,27 47 41 38 27 29 26 31 27 22
1576,20,0,47 41 38 27 29 26 31 27 22 35
1577,34,0,41 38 27 29 26 31 27 22 35 20
1578,46,0,38 27 29 26 31 27 22 35 20 34
1579,35,0,27 29 26 31 27 22 35 20 34 46
1580,23,0,29 26 31 27 22 35 20 34 46 35
1581,28,0,26 31 27 22 35 20 34 46 35 23
1582,23,0,31 27 22 35 20 34 46 35 23 28
1583,72,0,27 22 35 20 34 46 35 23 28 23
1584,80,0,22 35 20 34 46 35 23 28 23 72
1585,30,0,35 20 34 46 35 23 28 23 72 80
1586,25,0,20 34 46 35 23 28 23 72 80 30
1587,50,0,34 46 35 23 28 23 72 80 30 25
1588,40,0,46 35 23 28 23 72 80 30 25 50
1589,30,0,35 23 28 23 72 80 30 25 50 40
1590,34,0,23 28 23 72 80 30 25 50 40 30
1591,44,0,28 23 72 80 30 25 50 40 30 34
1592,35,0,23 72 80 30 25 50 40 30 34 44
1593,24,0,72 80 30 25 50 40 30 34 44 35
1594,26,0,80 30 25 50 40 30 34 44 35 24
1595,42,0,30 25 50 40 30 34 44 35 24 26
1596,27,0,25 50 40 30 34 44 35 24 26 42
1597,20,0,50 40 30 34 44 35 24 26 42 27
1598,20,0,40 30 34 44 35 24 26 42 27 20
1599,50,0,30 34 44 35 24 26 42 27 20 20
1600,45,0,34 44 35 24 26 42 27 20 20 50
1601,31,0,44 35 24 26 42 27 20 20 50 45
1602,34,0,35 24 26 42 27 20 20 50 45 31
1603,34,0,24 26 42 27 20 20 50 45 31 34
1604,41,0,26 42 27 20 20 50 45 31 34 34
1605,52,0,42 27 20 20 50 45 31 34 34 41
1606,23,0,27 20 20 50 45 31 34 34 41 52
1607,45,0,20 20 50 45 31 34 34 41 52 23
1608,48,0,20 50 45 31 34 34 41 52 23 45
1609,47,0,50 45 31 34 34 41 52 23 45 48
1610,38,0,45 31 34 34 41 52 23 45 48 47
1611,51,0,31 34 34 41 52 23 45 48 47 38
1612,37,0,34 34 41 52 23 45 48 47 38 51
1613,55,0,34 41 52 23 45 48 47 38 51 37
1614,52,0,41 52 23 45 48 47 38 51 37 55
1615,46,0,52 23 45 48 47 38 51 37 55 52
1616,29,0,23 45 48 47 38 51 37 55 52 46
1617,59,0,45 48 47 38 51 37 55 52 46 29
1618,60,0,48 47 38 51 37 55 52 46 29 59
1619,56,0,47 38 51 37 55 52 46 29 59 60
1620,55,0,38 51 37 55 52 46 29 59 60 56
1621,34,0,51 37 55 52 46 29 59 60 56 55
1622,32,0,37 55 52 46 29 59 60 56 55 34
1623,43,0,55 52 46 29 59 60 56 55 34 32
1624,49,0,52 46 29 59 60 56 55 34 32 43
1625,42,0,46 29 59 60 56 55 34 32 43 49
1626,48,0,29 59 60 56 55 34 32 43 49 42
1627,46,0,59 60 56 55 34 32 43 49 42 48
1628,49,0,60 56 55 34 32 43 49 42 48 46
1629,48,0,56 55 34 32 43 49 42 48 46 49
1630,60,0,55 34 32 43 49 42 48 46 49 48
1631,79,0,34 32 43 49 42 48 46 49 48 60
1632,77,0,32 43 49 42 48 46 49 48 60 79
1633,68,0,43 49 42 48 46 49 48 60 79 77
1634,57,0,49 42 48 46 49 48 60 79 77 68
1635,113,0,42 48 46 49 48 60 79 77 68 57
1636,81,0,48 46 49 48 60 79 77 68 57 113
1637,63,0,46 49 48 60 79 77 68 57 113 81
1638,56,0,49 48 60 79 77 68 57 113 81 63
1639,71,0,48 60 79 77 68 57 113 81 63 56
1640,54,0,60 79 77 68 57 113 81 63 56 71
1641,83,0,79 77 68 57 113 81 63 56 71 54
1642,68,0,77 68 57 113 81 63 56 71 54 83
1643,84,0,68 57 113 81 63 56 71 54 83 68
1644,78,0,57 113 81 63 56 71 54 83 68 84
1645,75,0,113 81 63 56 71 54 83 68 84 78
1646,69,0,81 63 56 71 54 83 68 84 78 75
1647,74,0,63 56 71 54 83 68 84 78 75 69
1648,71,0,56 71 54 83 68 84 78 75 69 74
1649,75,0,71 54 83 68 84 78 75 69 74 71
1650,80,0,54 83 68 84 78 75 69 74 71 75
1651,89,0,83 68 84 78 75 69 74 71 75 80
1652,86,0,68 84 78 75 69 74 71 75 80 89
1653,80,0,84 78 75 69 74 71 75 80 89 86
1654,104,0,78 75 69 74 71 75 80 89 86 80
1655,94,0,75 69 74 71 75 80 89 86 80 104
1656,77,0,69 74 71 75 80 89 86 80 104 94
1657,84,0,74 71 75 80 89 86 80 104 94 77
1658,55,0,71 75 80 89 86 80 104 94 77 84
1659,72,0,75 80 89 86 80 104 94 77 84 55
1660,92,0,80 89 86 80 104 94 77 84 55 72
1661,76,0,89 86 80 104 94 77 84 55 72 92
1662,93,0,86 80 104 94 77 84 55 72 92 76
1663,89,0,80 104 94 77 84 55 72 92 76 93
1664,112,0,104 94 77 84 55 72 92 76 93 89
1665,82,0,94 77 84 55 72 92 76 93 89 112
1666,99,0,77 84 55 72 92 76 93 89 112 82
1667,96,0,84 55 72 92 76 93 89 112 82 99
1668,81,0,55 72 92 76 93 89 112 82 99 96
1669,102,0,72 92 76 93 89 112 82 99 96 81
1670,116,0,92 76 93 89 112 82 99 96 81 102
1671,79,0,76 93 89 112 82 99 96 81 102 116
1672,97,0,93 89 112 82 99 96 81 102 116 79
1673,83,0,89 112 82 99 96 81 102 116 79 97
1674,78,0,112 82 99 96 81 102 116 79 97 83
1675,90,0,82 99 96 81 102 116 79 97 83 78
1676,55,0,99 96 81 102 116 79 97 83 78 90
1677,58,0,96 81 102 116 79 97 83 78 90 55
1678,75,0,81 102 116 79 97 83 78 90 55 58
1679,100,0,102 116 79 97 83 78 90 55 58 75
1680,113,0,116 79 97 83 78 90 55 58 75 100
1681,80,0,79 97 83 78 90 55 58 75 100 113
1682,80,0,97 83 78 90 55 58 75 100 113 80
1683,72,0,83 78 90 55 58 75 100 113 80 80
1684,85,0,78 90 55 58 75 100 113 80 80 72
1685,70,0,90 55 58 75 100 113 80 80 72 85
1686,89,0,55 58 75 100 113 80 80 72 85 70
1687,90,0,58 75 100 113 80 80 72 85 70 89
1688,94,0,75 100 113 80 80 72 85 70 89 90
1689,94,0,100 113 80 80 72 85 70 89 90 94
1690,96,0,113 80 80 72 85 70 89 90 94 94
1691,101,0,80 80 72 85 70 89 90 94 94 96
1692,98,0,80 72 85 70 89 90 94 94 96 101
1693,96,0,72 85 70 89 90 94 94 96 101 98
1694,78,0,85 70 89 90 94 94 96 101 98 96
1695,81,0,70 89 90 94 94 96 101 98 96 78
1696,79,0,89 90 94 94 96 101 98 96 78 81
1697,58,0,90 94 94 96 101 98 96 78 81 79
1698,98,0,94 94 96 101 98 96 78 81 79 58
1699,92,0,94 96 101 98 96 78 81 79 58 98
1700,106,0,96 101 98 96 78 81 79 58 98 92
1701,95,0,101 98 96 78 81 79 58 98 92 106
1702,98,0,98 96 78 81 79 58 98 92 106 95
1703,106,0,96 78 81 79 58 98 92 106 95 98
1704,78,0,78 81 79 58 98 92 106 95 98 106
1705,79,0,81 79 58 98 92 106 95 98 106 78
1706,81,0,79 58 98 92 106 95 98 106 78 79
1707,89,0,58 98 92 106 95 98 106 78 79 81
1708,80,0,98 92 106 95 98 106 78 79 81 89
1709,58,0,92 106 95 98 106 78 79 81 89 80
1710,78,0,106 95 98 106 78 79 81 89 80 58
1711,98,0,95 98 106 78 79 81 89 80 58 78
1712,135,0,98 106 78 79 81 89 80 58 78 98
1713,119,0,106 78 79 81 89 80 58 78 98 135
1714,160,0,78 79 81 89 80 58 78 98 135 119
1715,131,0,79 81 89 80 58 78 98 135 119 160
1716,84,0,81 89 80 58 78 98 135 119 160 131
1717,77,0,89 80 58 78 98 135 119 160 131 84
1718,65,0,80 58 78 98 135 119 160 131 84 77
1719,85,0,58 78 98 135 119 160 131 84 77 65
1720,69,0,78 98 135 119 160 131 84 77 65 85
1721,60,0,98 135 119 160 131 84 77 65 85 69
1722,72,0,135 119 160 131 84 77 65 85 69 60
1723,79,0,119 160 131 84 77 65 85 69 60 72
1724,101,0,160 131 84 77 65 85 69 60 72 79
1725,232,0,131 84 77 65 85 69 60 72 79 101
1726,119,0,84 77 65 85 69 60 72 79 101 232
1727,105,0,77 65 85 69 60 72 79 101 232 119
1728,94,0,65 85 69 60 72 79 101 232 119 105
1729,107,0,85 69 60 72 79 101 232 119 105 94
1730,57,0,69 60 72 79 101 232 119 105 94 107
1731,56,0,60 72 79 101 232 119 105 94 107 57
1732,71,0,72 79 101 232 119 105 94 107 57 56
1733,73,0,79 101 232 119 105 94 107 57 56 71
1734,58,0,101 232 119 105 94 107 57 56 71 73
1735,73,0,232 119 105 94 107 57 56 71 73 58
1736,57,0,119 105 94 107 57 56 71 73 58 73
1737,76,0,105 94 107 57 56 71 73 58 73 57
1738,75,0,94 107 57 56 71 73 58 73 57 76
1739,88,0,107 57 56 71 73 58 73 57 76 75
1740,63,0,57 56 71 73 58 73 57 76 75 88
1741,82,0,56 71 73 58 73 57 76 75 88 63
1742,62,0,71 73 58 73 57 76 75 88 63 82
1743,72,0,73 58 73 57 76 75 88 63 82 62
1744,53,0,58 73 57 76 75 88 63 82 62 72
1745,83,0,73 57 76 75 88 63 82 62 72 53
1746,79,0,57 76 75 88 63 82 62 72 53 83
1747,115,0,76 75 88 63 82 62 72 53 83 79
1748,79,0,75 88 63 82 62 72 53 83 79 115
1749,73,0,88 63 82 62 72 53 83 79 115 79
1750,54,0,63 82 62 72 53 83 79 115 79 73
1751,37,0,82 62 72 53 83 79 115 79 73 54
1752,57,0,62 72 53 83 79 115 79 73 54 37
1753,55,0,72 53 83 79 115 79 73 54 37 57
1754,53,0,53 83 79 115 79 73 54 37 57 55
1755,79,0,83 79 115 79 73 54 37 57 55 53
1756,92,0,79 115 79 73 54 37 57 55 53 79
1757,80,0,115 79 73 54 37 57 55 53 79 92
1758,71,0,79 73 54 37 57 55 53 79 92 80
1759,78,0,73 54 37 57 55 53 79 92 80 71
1760,63,0,54 37 57 55 53 79 92 80 71 78
1761,75,0,37 57 55 53 79 92 80 71 78 63
1762,65,0,57 55 53 79 92 80 71 78 63 75
1763,62,0,55 53 79 92 80 71 78 63 75 65
1764,61,0,53 79 92 80 71 78 63 75 65 62
1765,45,0,79 92 80 71 78 63 75 65 62 61
1766,69,0,92 80 71 78 63 75 65 62 61 45
1767,63,0,80 71 78 63 75 65 62 61 45 69
1768,77,0,71 78 63 75 65 62 61 45 69 63
1769,72,0,78 63 75 65 62 61 45 69 63 77
1770,47,0,63 75 65 62 61 45 69 63 77 72
1771,57,0,75 65 62 61 45 69 63 77 72 47
1772,92,0,65 62 61 45 69 63 77 72 47 57
1773,74,0,62 61 45 69 63 77 72 47 57 92
1774,86,0,61 45 69 63 77 72 47 57 92 74
1775,74,0,45 69 63 77 72 47 57 92 74 86
1776,53,0,69 63 77 72 47 57 92 74 86 74
1777,47,0,63 77 72 47 57 92 74 86 74 53
1778,58,0,77 72 47 57 92 74 86 74 53 47
1779,61,0,72 47 57 92 74 86 74 53 47 58
1780,42,0,47 57 92 74 86 74 53 47 58 61
1781,44,0,57 92 74 86 74 53 47 58 61 42
1782,44,0,92 74 86 74 53 47 58 61 42 44
1783,53,0,74 86 74 53 47 58 61 42 44 44
1784,61,0,86 74 53 47 58 61 42 44 44 53
1785,63,0,74 53 47 58 61 42 44 44 53 61
1786,59,0,53 47 58 61 42 44 44 53 61 63
1787,60,0,47 58 61 42 44 44 53 61 63 59
1788,58,0,58 61 42 44 44 53 61 63 59 60
1789,49,0,61 42 44 44 53 61 63 59 60 58
1790,52,0,42 44 44 53 61 63 59 60 58 49
1791,59,0,44 44 53 61 63 59 60 58 49 52
1792,43,0,44 53 61 63 59 60 58 49 52 59
1793,60,0,53 61 63 59 60 58 49 52 59 43
1794,48,0,61 63 59 60 58 49 52 59 43 60
1795,48,0,63 59 60 58 49 52 59 43 60 48
1796,58,0,59 60 58 49 52 59 43 60 48 48
1797,62,0,60 58 49 52 59 43 60 48 48 58
1798,43,0,58 49 52 59 43 60 48 48 58 62
1799,57,0,49 52 59 43 60 48 48 58 62 43
1800,48,0,52 59 43 60 48 48 58 62 43 57
1801,44,0,59 43 60 48 48 58 62 43 57 48
1802,48,0,43 60 48 48 58 62 43 57 48 44
1803,56,0,60 48 48 58 62 43 57 48 44 48
1804,50,0,48 48 58 62 43 57 48 44 48 56
1805,48,0,48 58 62 43 57 48 44 48 56 50
1806,53,0,58 62 43 57 48 44 48 56 50 48
1807,50,0,62 43 57 48 44 48 56 50 48 53
1808,34,0,43 57 48 44 48 56 50 48 53 50
1809,35,0,57 48 44 48 56 50 48 53 50 34
1810,33,0,48 44 48 56 50 48 53 50 34 35
1811,43,0,44 48 56 50 48 53 50 34 35 33
1812,41,0,48 56 50 48 53 50 34 35 33 43
1813,36,0,56 50 48 53 50 34 35 33 43 41
1814,46,0,50 48 53 50 34 35 33 43 41 36
1815,34,0,48 53 50 34 35 33 43 41 36 46
1816,38,0,53 50 34 35 33 43 41 36 46 34
1817,44,0,50 34 35 33 43 41 36 46 34 38
1818,41,0,34 35 33 43 41 36 46 34 38 44
1819,44,0,35 33 43 41 36 46 34 38 44 41
1820,42,0,33 43 41 36 46 34 38 44 41 44
1821,38,0,43 41 36 46 34 38 44 41 44 42
1822,35,0,41 36 46 34 38 44 41 44 42 38
1823,27,0,36 46 34 38 44 41 44 42 38 35
1824,47,0,46 34 38 44 41 44 42 38 35 27
1825,44,0,34 38 44 41 44 42 38 35 27 47
1826,27,0,38 44 41 44 42 38 35 27 47 44
1827,32,0,44 41 44 42 38 35 27 47 44 27
1828,44,0,41 44 42 38 35 27 47 44 27 32
1829,35,0,44 42 38 35 27 47 44 27 32 44
1830,52,0,42 38 35 27 47 44 27 32 44 35
1831,42,0,38 35 27 47 44 27 32 44 35 52
1832,62,0,35 27 47 44 27 32 44 35 52 42
1833,43,0,27 47 44 27 32 44 35 52 42 62
1834,63,0,47 44 27 32 44 35 52 42 62 43
1835,43,0,44 27 32 44 35 52 42 62 43 63
1836,40,0,27 32 44 35 52 42 62 43 63 43
1837,35,0,32 44 35 52 42 62 43 63 43 40
1838,17,0,44 35 52 42 62 43 63 43 40 35
1839,39,0,35 52 42 62 43 63 43 40 35 17
1840,34,0,52 42 62 43 63 43 40 35 17 39
1841,33,0,42 62 43 63 43 40 35 17 39 34
1842,36,0,62 43 63 43 40 35 17 39 34 33
1843,42,0,43 63 43 40 35 17 39 34 33 36
1844,43,0,63 43 40 35 17 39 34 33 36 42
1845,25,0,43 40 35 17 39 34 33 36 42 43
1846,27,0,40 35 17 39 34 33 36 42 43 25
1847,32,0,35 17 39 34 33 36 42 43 25 27
1848,31,0,17 39 34 33 36 42 43 25 27 32
1849,36,0,39 34 33 36 42 43 25 27 32 31
1850,44,0,34 33 36 42 43 25 27 32 31 36
1851,41,0,33 36 42 43 25 27 32 31 36 44
1852,40,0,36 42 43 25 27 32 31 36 44 41
1853,30,0,42 43 25 27 32 31 36 44 41 40
1854,33,0,43 25 27 32 31 36 44 41 40 30
1855,37,0,25 27 32 31 36 44 41 40 30 33
1856,46,0,27 32 31 36 44 41 40 30 33 37
1857,36,0,32 31 36 44 41 40 30 33 37 46
1858,26,0,31 36 44 41 40 30 33 37 46 36
1859,45,0,36 44 41 40 30 33 37 46 36 26
1860,50,0,44 41 40 30 33 37 46 36 26 45
1861,44,0,41 40 30 33 37 46 36 26 45 50
1862,54,0,40 30 33 37 46 36 26 45 50 44
1863,37,0,30 33 37 46 36 26 45 50 44 54
1864,57,0,33 37 46 36 26 45 50 44 54 37
1865,52,0,37 46 36 26 45 50 44 54 37 57
